Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
MCCD1		ENSG00000204511	"Mitochondrial coiled-coil domain 1"	P59942	6	31528962-31530232	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	73	"kidney: 79.6"	"Group enriched"	"Detected in some"	36	"Distal tubular cells: 399.5;Proximal tubular cells: 316.3"	"Group enriched"	"Detected in some"	5	"breast cancer: 0.7;endometrial cancer: 0.8;liver cancer: 2.4;renal cancer: 2.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"					"Not detected"	"Not detected"								"Intracellular and membrane"	"No annotated function"	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 52: Neurons & Synapses - Synaptic function"		"Cluster 56: Proximal tubular cells - Amino acid metabolism"	20				"unprognostic (1.34e-1)"			"unprognostic (2.39e-2)"			"unprognostic (2.71e-1)"			"unprognostic (3.22e-2)"			"prognostic favorable (1.73e-4)"				
SLC34A1	"NAPI-3, NPT2, NPTIIa, SLC11, SLC17A2"	ENSG00000131183	"Solute carrier family 34 member 1"	Q06495	5	177379235-177398848	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Symport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	54	"kidney: 149.8"	"Cell type enriched"	"Detected in some"	8	"Proximal tubular cells: 101.4"	"Cancer enriched"	"Detected in single"	12	"renal cancer: 1.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA051255, HPA077175"	Approved		Approved	"Nucleoplasm,Nuclear speckles,Plasma membrane,Mitotic spindle,Cytosol"			Yes	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 47: Leukemia - Hemostasis"	"Cluster 38: Proximal tubular cells - Transmembrane transport"		"Nuclear speckles, Plasma membrane"	"Nucleoplasm, Mitotic spindle, Cytosol"	"HPA051255: AB_2681409, HPA077175: "	"unprognostic (1.17e-1)"	"unprognostic (3.33e-3)"	"unprognostic (1.49e-1)"	"unprognostic (3.49e-2)"		"unprognostic (1.56e-3)"	"unprognostic (2.28e-1)"	"unprognostic (4.50e-2)"	"unprognostic (4.43e-3)"	"unprognostic (1.91e-1)"	"unprognostic (1.14e-1)"	"unprognostic (5.95e-2)"	"unprognostic (1.23e-3)"	"unprognostic (1.38e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.28e-2)"	"unprognostic (4.66e-2)"
SLC4A9	AE4	ENSG00000113073	"Solute carrier family 4 member 9"	Q96Q91	5	140360194-140375141	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Anion exchange, Antiport, Ion transport, Transport"			"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	48	"kidney: 34.5"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 3.9;Distal tubular cells: 3.1;Excitatory neurons: 2.3;Inhibitory neurons: 2.3;Oligodendrocyte precursor cells: 1.4;Oligodendrocytes: 6.0;Spermatocytes: 1.7"	"Cancer enriched"	"Detected in single"	8	"renal cancer: 0.9"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose visceral - Mesothelial cells, Kidney - Intercalated cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA051307	Uncertain		Approved	"Vesicles,Plasma membrane,Cytosol"			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 51: Oligodendrocytes - Unknown function"		"Plasma membrane, Cytosol"	Vesicles	"HPA051307: AB_2681434"	"unprognostic (1.68e-1)"	"unprognostic (4.22e-2)"	"unprognostic (2.20e-1)"	"unprognostic (1.47e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.13e-1)"	"unprognostic (1.02e-2)"	"unprognostic (3.28e-3)"	"unprognostic (2.78e-1)"	"unprognostic (2.47e-1)"	"unprognostic (4.78e-2)"	"unprognostic (1.19e-1)"	"unprognostic (4.24e-2)"	"unprognostic (2.99e-2)"	"unprognostic (3.06e-2)"	"unprognostic (5.04e-2)"	"unprognostic (1.82e-2)"
MIOX	ALDRL6	ENSG00000100253	"Myo-inositol oxygenase"	Q9UGB7	22	50486784-50490648	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	47	"kidney: 674.7"	"Cell type enriched"	"Detected in some"	19	"Proximal tubular cells: 4414.6"	"Cancer enriched"	"Detected in many"	16	"renal cancer: 56.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney cancer: 5.5"	"Kidney - Proximal tubular cells, Prostate - Prostate glandular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA039451, HPA039562"	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 48: Non-specific - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"				"HPA039451: AB_2676513, HPA039562: AB_2676574"	"unprognostic (2.11e-1)"	"unprognostic (4.32e-2)"	"unprognostic (2.22e-2)"	"unprognostic (1.30e-2)"	"unprognostic (9.83e-2)"	"unprognostic (5.25e-2)"	"unprognostic (1.61e-2)"	"unprognostic (3.84e-3)"	"unprognostic (2.84e-1)"	"unprognostic (4.72e-2)"	"unprognostic (1.85e-2)"	"unprognostic (9.83e-2)"	"prognostic favorable (2.60e-6)"	"unprognostic (1.77e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.36e-2)"	"unprognostic (2.23e-2)"
SLC22A13	"OAT10, OCTL1, OCTL3, ORCTL3"	ENSG00000172940	"Solute carrier family 22 member 13"	Q9Y226	3	38265812-38278757	"Metabolic proteins, Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	44	"kidney: 8.7"	"Cell type enhanced"	"Detected in some"		"Horizontal cells: 4.4;Ionocytes: 2.9;Proximal tubular cells: 6.6;Sertoli cells: 2.7"	"Cancer enriched"	"Detected in single"	7	"renal cancer: 0.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA035603, HPA035962"	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 37: Neurons - Mixed function"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA035603: AB_10672869, HPA035962: AB_2674890"	"unprognostic (2.73e-2)"	"unprognostic (6.70e-2)"	"unprognostic (2.80e-1)"	"unprognostic (5.68e-2)"	"unprognostic (7.13e-3)"	"unprognostic (3.50e-3)"	"unprognostic (6.83e-2)"	"unprognostic (1.49e-1)"	"unprognostic (3.48e-1)"	"unprognostic (2.09e-1)"	"unprognostic (3.04e-1)"	"unprognostic (1.92e-1)"	"unprognostic (8.65e-5)"	"unprognostic (3.39e-1)"	"unprognostic (1.96e-2)"	"unprognostic (5.24e-2)"	"unprognostic (2.74e-1)"
KCNJ1	"Kir1.1, ROMK1"	ENSG00000151704	"Potassium inwardly rectifying channel subfamily J member 1"	P48048	11	128836315-128867373	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Bartter syndrome, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	43	"kidney: 191.1"	"Group enriched"	"Detected in some"	96	"Collecting duct cells: 23.3;Distal tubular cells: 79.9"	"Cancer enriched"	"Detected in some"	7	"renal cancer: 3.4"	"Region enhanced"	"Detected in some"		"basal ganglia: 3.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Ascending Loop of Henle cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA026962	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 33: Neurons - Mixed function"	"Cluster 50: Lymphoma - Unknown function"	"Cluster 39: Non-specific - Basic cellular processes"				"HPA026962: AB_10601934"	"unprognostic (1.75e-1)"	"unprognostic (4.38e-2)"	"unprognostic (1.14e-1)"	"unprognostic (3.19e-1)"	"unprognostic (7.55e-2)"	"unprognostic (1.29e-1)"	"unprognostic (3.01e-2)"	"unprognostic (2.69e-1)"	"unprognostic (1.46e-1)"	"unprognostic (2.44e-2)"	"unprognostic (6.47e-2)"	"unprognostic (2.78e-1)"	"unprognostic (6.05e-2)"	"unprognostic (4.99e-2)"	"unprognostic (1.61e-1)"	"unprognostic (1.28e-1)"	"unprognostic (7.81e-3)"
FXYD4	CHIF	ENSG00000150201	"FXYD domain containing ion transport regulator 4"	P59646	10	43371636-43376335	"Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Ion channel"		"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	42	"kidney: 288.8"	"Cell type enriched"	"Detected in some"	63	"Collecting duct cells: 3876.1"	"Group enriched"	"Detected in many"	5	"renal cancer: 10.7;urothelial cancer: 20.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"lung cancer: 3.0;testis cancer: 9.5"	"Skeletal muscle - Skeletal myocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA058421	Enhanced		Uncertain	Cytosol			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 11: White matter - Signal transduction"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 3: Basal prostatic cells - Lipid metabolism"		Cytosol		"HPA058421: AB_2683714"	"unprognostic (2.92e-3)"	"unprognostic (5.25e-1)"	"unprognostic (9.46e-2)"	"unprognostic (2.60e-2)"	"unprognostic (2.56e-1)"	"unprognostic (1.85e-1)"		"unprognostic (2.32e-1)"		"unprognostic (2.00e-1)"	"unprognostic (5.17e-2)"	"unprognostic (2.19e-1)"	"unprognostic (6.12e-2)"	"unprognostic (7.88e-2)"	"unprognostic (1.26e-1)"	"unprognostic (3.20e-1)"	"unprognostic (2.09e-2)"
SLC22A6	"OAT1, PAHT, ROAT1"	ENSG00000197901	"Solute carrier family 22 member 6"	Q4U2R8	11	62936385-62984967	"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"			"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	32	"kidney: 189.5"	"Cell type enriched"	"Detected in some"	36	"Proximal tubular cells: 170.6"	"Cancer enriched"	"Detected in single"	102	"renal cancer: 18.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA074559, CAB075704"	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 19: Astrocytes - Mixed function"		"Cluster 38: Proximal tubular cells - Transmembrane transport"	1			"CAB075704: , HPA074559: AB_2732260"					"unprognostic (2.42e-2)"								"unprognostic (2.25e-3)"	"unprognostic (4.43e-1)"			
ATP6V1G3	"ATP6G3, Vma10"	ENSG00000151418	"ATPase H+ transporting V1 subunit G3"	Q96LB4	1	198523222-198540945	"Metabolic proteins, Predicted intracellular proteins, Transporters"	"Hydrogen ion transport, Ion transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	28	"kidney: 57.7"	"Cell type enriched"	"Detected in some"	27	"Distal tubular cells: 639.3"	"Cancer enriched"	"Detected in single"	140	"renal cancer: 11.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Intercalated cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA028701	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 39: Non-specific - Basic cellular processes"				"HPA028701: AB_10611681"																	
OR2T10		ENSG00000184022	"Olfactory receptor family 2 subfamily T member 10"	Q8NGZ9	1	248590487-248597700	"G-protein coupled receptors, Predicted membrane proteins"	"Olfaction, Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	23	"kidney: 4.8"	"Cell type enhanced"	"Detected in some"		"B-cells: 1.2;Oocytes: 5.1;Proximal tubular cells: 2.9"	"Cancer enhanced"	"Detected in single"		"renal cancer: 0.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA052019	Uncertain						NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 55: Lymphoma - Immune response"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA052019: AB_2681696"													"unprognostic (8.58e-2)"				
TMEM52B	"C12orf59, FLJ31166"	ENSG00000165685	"Transmembrane protein 52B"	Q4KMG9	12	10170542-10191804	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	23	"kidney: 109.2"	"Cell type enriched"	"Detected in some"	19	"Distal tubular cells: 817.5"	"Cancer enriched"	"Detected in some"	5	"renal cancer: 6.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"liver cancer: 9.3"	"Kidney - Intercalated cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA058096	Enhanced		Approved	"Focal adhesion sites"			NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 39: Non-specific - Basic cellular processes"	59	"Focal adhesion sites"		"HPA058096: AB_2683603"	"unprognostic (1.10e-2)"	"unprognostic (7.61e-2)"	"unprognostic (1.37e-3)"	"unprognostic (1.22e-1)"	"unprognostic (1.67e-1)"	"unprognostic (5.33e-3)"	"unprognostic (1.37e-1)"	"unprognostic (8.65e-2)"	"unprognostic (7.14e-4)"	"unprognostic (2.23e-1)"	"unprognostic (6.36e-2)"	"unprognostic (7.33e-2)"	"unprognostic (3.24e-2)"	"unprognostic (5.80e-2)"	"unprognostic (5.51e-2)"	"unprognostic (1.66e-1)"	"unprognostic (3.18e-1)"
SLC5A2	SGLT2	ENSG00000140675	"Solute carrier family 5 member 2"	P31639	16	31483002-31490860	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Sugar transport, Symport, Transport"		"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	18	"kidney: 52.7"	"Group enriched"	"Detected in some"	4	"Early spermatids: 58.4;Late spermatids: 142.5;Proximal tubular cells: 113.0"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA041603	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 35: Non-specific - DNA binding"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA041603: AB_10960540"	"unprognostic (1.61e-1)"	"unprognostic (2.95e-1)"	"unprognostic (2.84e-1)"	"unprognostic (3.00e-2)"	"unprognostic (8.04e-2)"	"unprognostic (8.23e-3)"	"unprognostic (1.49e-1)"	"unprognostic (2.25e-3)"	"unprognostic (2.57e-1)"	"unprognostic (1.12e-2)"	"unprognostic (6.43e-2)"	"unprognostic (2.47e-1)"	"unprognostic (1.42e-3)"	"unprognostic (5.88e-2)"	"unprognostic (2.14e-1)"	"unprognostic (4.18e-2)"	"unprognostic (3.22e-1)"
SLC5A10	SGLT5	ENSG00000154025	"Solute carrier family 5 member 10"	A0PJK1	17	18950345-19022595	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Sugar transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"kidney: 40.1"	"Group enriched"	"Detected in some"	4	"Late spermatids: 33.3;Proximal tubular cells: 50.4"	"Cancer enriched"	"Detected in some"	11	"renal cancer: 6.3"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"intermediate monocyte: 1.8;non-classical monocyte: 4.9"	"Lineage enriched"	"Detected in single"	7	"monocytes: 4.9"	"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA052014	Uncertain						NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 52: Kidney - Transmembrane transport"		"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"				"HPA052014: AB_2681694"	"unprognostic (3.74e-1)"	"unprognostic (2.92e-1)"	"unprognostic (3.04e-2)"	"unprognostic (6.11e-2)"	"unprognostic (6.56e-2)"	"unprognostic (3.36e-4)"	"unprognostic (7.36e-2)"	"unprognostic (2.39e-1)"	"unprognostic (1.52e-1)"	"unprognostic (8.94e-2)"	"unprognostic (3.24e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.09e-2)"	"unprognostic (3.43e-2)"	"unprognostic (2.61e-2)"	"unprognostic (2.75e-2)"	"unprognostic (2.11e-1)"
SOST	"DAND6, VBCH"	ENSG00000167941	Sclerostin	Q9BQB4	17	43753738-43758791	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted secreted proteins"	"Wnt signaling pathway"	Heparin-binding	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"kidney: 13.0"	"Group enriched"	"Detected in some"	5	"B-cells: 1.6;Cholangiocytes: 1.9;Collecting duct cells: 5.8;Pancreatic endocrine cells: 1.7"	"Cancer enhanced"	"Detected in some"		"lung cancer: 6.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bladder cancer: 12.3;Rhabdoid: 19.6"		"Group enriched"	"Detected in some"	11	"basal ganglia: 1.7;cerebellum: 1.0"	"Not detected"	"Not detected"								"Secreted to extracellular matrix"	Other	NA	NA		16000		"Cluster 52: Kidney - Transmembrane transport"		"Cluster 7: Liver cancer - Metabolism"	"Cluster 73: B-cells - B-cell function"	4				"unprognostic (1.26e-1)"	"unprognostic (4.06e-2)"		"unprognostic (6.57e-2)"	"unprognostic (2.55e-3)"	"unprognostic (3.37e-1)"		"unprognostic (4.67e-2)"	"unprognostic (1.16e-1)"	"unprognostic (8.35e-2)"	"unprognostic (1.38e-2)"		"unprognostic (1.20e-1)"	"unprognostic (8.92e-2)"	"unprognostic (1.56e-1)"		"unprognostic (7.90e-2)"
AQP6	AQP2L	ENSG00000086159	"Aquaporin 6"	Q13520	12	49967194-49977139	"Metabolic proteins, Predicted membrane proteins, Transporters"	Transport			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	11	"kidney: 51.2"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 4.0;Club cells: 1.5;Collecting duct cells: 1.9;Distal tubular cells: 3.1;Ionocytes: 5.5;Oligodendrocyte precursor cells: 1.4;Oligodendrocytes: 1.5"	"Cancer enriched"	"Detected in many"	9	"renal cancer: 9.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Breast glandular cells (progenitors), Liver - Hepatocytes, Skin - Eccrine sweat gland cells"	"Region enriched"	"Detected in some"	7	"cerebellum: 21.0"	"Not detected"	"Not detected"			HPA015278	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 35: Respiratory epithelial cells - Unknown function"	264			"HPA015278: AB_10600982"	"unprognostic (1.23e-1)"	"unprognostic (1.32e-2)"	"unprognostic (9.53e-2)"	"unprognostic (2.02e-2)"	"unprognostic (6.46e-2)"	"unprognostic (4.60e-3)"	"unprognostic (3.45e-2)"	"unprognostic (1.46e-2)"	"unprognostic (1.36e-1)"	"unprognostic (8.68e-3)"	"unprognostic (1.71e-1)"	"unprognostic (2.00e-1)"	"unprognostic (1.74e-1)"	"unprognostic (6.85e-2)"	"unprognostic (9.22e-2)"	"unprognostic (9.03e-2)"	"unprognostic (1.77e-1)"
FMO1		ENSG00000010932	"Flavin containing dimethylaniline monoxygenase 1"	Q01740	1	171248471-171285978	"Enzymes, Metabolic proteins, Predicted membrane proteins"		"Monooxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	10	"kidney: 191.8"	"Cell type enhanced"	"Detected in some"		"Distal tubular cells: 27.7;Mesothelial cells: 59.0;Proximal enterocytes: 85.9;Proximal tubular cells: 165.1"	"Cancer enriched"	"Detected in many"	8	"renal cancer: 18.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Rhabdoid: 1.4"	"Kidney - Proximal tubular cells, Lung - Fibroblast_2, Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA078132	Approved						NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	5			"HPA078132: "	"unprognostic (1.04e-1)"	"unprognostic (1.05e-2)"	"unprognostic (5.87e-2)"	"unprognostic (1.34e-1)"	"unprognostic (5.32e-3)"	"unprognostic (1.89e-2)"	"unprognostic (1.04e-1)"	"unprognostic (4.04e-1)"	"unprognostic (9.16e-2)"	"unprognostic (9.03e-2)"	"unprognostic (1.36e-2)"	"unprognostic (2.23e-1)"	"prognostic favorable (2.81e-4)"	"unprognostic (6.49e-4)"	"unprognostic (1.40e-1)"	"unprognostic (3.58e-1)"	"unprognostic (1.37e-1)"
