Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
HAO2	"GIG16, HAOX2"	ENSG00000116882	"Hydroxyacid oxidase 2"	Q9NYQ3	1	119368779-119394130	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	15	"kidney: 292.3;liver: 412.4"	"Group enriched"	"Detected in some"	12	"Hepatocytes: 276.9;Proximal tubular cells: 387.9"	"Group enriched"	"Detected in some"	26	"liver cancer: 25.6;renal cancer: 11.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA050355			Approved	Vesicles,Cytosol			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 53: Neurons - Mixed function"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	1	"Vesicles, Cytosol"		"HPA050355: "	"unprognostic (1.13e-1)"	"unprognostic (1.68e-2)"	"unprognostic (2.07e-1)"	"unprognostic (1.00e-1)"	"unprognostic (6.22e-2)"	"unprognostic (5.33e-3)"	"unprognostic (2.80e-2)"	"unprognostic (3.27e-1)"	"unprognostic (3.15e-1)"	"unprognostic (3.17e-1)"	"unprognostic (1.41e-1)"	"unprognostic (1.73e-1)"	"prognostic favorable (4.92e-4)"	"unprognostic (9.66e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.89e-2)"	"unprognostic (5.14e-4)"
UPP2	"UDRPASE2, UP2, UPASE2"	ENSG00000007001	"Uridine phosphorylase 2"	O95045	2	157876702-158136154	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	15	"kidney: 44.1;liver: 23.1"	"Group enriched"	"Detected in some"	4	"Astrocytes: 22.9;Excitatory neurons: 31.4;Inhibitory neurons: 19.9;Oligodendrocyte precursor cells: 25.9;Proximal tubular cells: 69.8"	"Cancer enriched"	"Detected in some"	6	"liver cancer: 3.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA035225, HPA035226"			Approved	Nucleoplasm,Vesicles,Mitochondria			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 51: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	1	Nucleoplasm	"Vesicles, Mitochondria"	"HPA035225: AB_10604002, HPA035226: AB_10696503"	"unprognostic (1.87e-1)"	"unprognostic (2.33e-1)"	"unprognostic (4.22e-3)"	"unprognostic (1.36e-3)"	"unprognostic (2.29e-1)"	"unprognostic (1.55e-1)"	"unprognostic (3.53e-2)"	"unprognostic (5.51e-2)"	"unprognostic (5.11e-2)"	"unprognostic (1.23e-2)"	"unprognostic (4.65e-3)"	"unprognostic (2.34e-1)"	"unprognostic (2.23e-2)"	"unprognostic (4.89e-2)"	"unprognostic (2.78e-2)"	"unprognostic (1.78e-2)"	"unprognostic (1.16e-2)"
ERICH4	"C19orf69, LOC100170765"	ENSG00000204978	"Glutamate rich 4"	A6NGS2	19	41443156-41444765	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	14	"intestine: 41.3;kidney: 15.9"	"Group enriched"	"Detected in some"	26	"Proximal enterocytes: 184.4;Proximal tubular cells: 69.7"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA042632, HPA048484"	Uncertain		Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	2	Nucleoplasm	Cytosol	"HPA042632: AB_2678090, HPA048484: AB_2680415"	"unprognostic (1.41e-1)"	"unprognostic (3.05e-1)"	"unprognostic (9.52e-2)"	"unprognostic (1.24e-1)"	"unprognostic (2.76e-1)"		"unprognostic (4.03e-5)"	"unprognostic (8.53e-2)"		"unprognostic (7.54e-2)"	"unprognostic (1.97e-1)"	"unprognostic (3.09e-2)"	"unprognostic (1.04e-1)"	"unprognostic (2.79e-1)"	"unprognostic (2.35e-1)"	"unprognostic (1.16e-1)"	
GLYAT	"ACGNAT, GAT"	ENSG00000149124	Glycine-N-acyltransferase	Q6IB77	11	58640426-58731974	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	Detoxification	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	14	"kidney: 550.4;liver: 676.1"	"Group enriched"	"Detected in some"	9	"Hepatocytes: 453.8;Proximal tubular cells: 1018.6"	"Group enriched"	"Detected in some"	158	"liver cancer: 21.7;renal cancer: 25.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Adipocytes (Skin), Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA040251, HPA044094"	Enhanced						NA	NA		21000		"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 69: Skin cancer - ECM organization"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	2			"HPA040251: AB_2676902, HPA044094: AB_2678807"	"unprognostic (2.15e-2)"				"unprognostic (9.38e-4)"	"unprognostic (4.60e-2)"	"unprognostic (1.65e-3)"		"unprognostic (1.83e-1)"		"unprognostic (1.60e-1)"		"prognostic favorable (1.31e-6)"	"unprognostic (2.69e-1)"			
GATM	AGAT	ENSG00000171766	"Glycine amidinotransferase"	P50440	15	45361124-45402327	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		Transferase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	13	"kidney: 2023.4;liver: 2717.9;pancreas: 2843.6"	"Group enriched"	"Detected in many"	6	"Granulosa cells: 701.1;Hepatocytes: 1466.3;Proximal tubular cells: 2758.8"	"Cancer enhanced"	"Detected in all"		"liver cancer: 135.2"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"memory B-cell: 11.1;myeloid DC: 6.6;naive B-cell: 5.4;plasmacytoid DC: 6.8"	"Group enriched"	"Detected in many"	5	"B-cells: 11.1;dendritic cells: 6.8"	"Cancer enriched"	"Detected in all"	4	"Rhabdoid: 180.4"	"Colon - Enteric glia cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Keratinocyte (other), Testis - Sertoli cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA026077	Enhanced		Supported	Mitochondria			NA	NA		600000	"Cluster 23: B-cells - Immunoglobulins"	"Cluster 68: Non-specific - Protein processing"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	10	Mitochondria		"HPA026077: AB_1849528"	"unprognostic (1.91e-1)"	"unprognostic (1.33e-2)"	"unprognostic (2.77e-2)"	"unprognostic (6.57e-2)"	"unprognostic (9.43e-2)"	"unprognostic (1.67e-2)"	"unprognostic (6.99e-3)"	"unprognostic (1.04e-1)"	"unprognostic (4.51e-2)"	"unprognostic (3.36e-2)"	"unprognostic (1.33e-1)"	"unprognostic (5.67e-2)"	"prognostic favorable (1.38e-4)"	"unprognostic (1.09e-1)"	"unprognostic (4.07e-2)"	"unprognostic (3.60e-2)"	"unprognostic (1.80e-1)"
PIPOX	LPIPOX	ENSG00000179761	"Pipecolic acid and sarcosine oxidase"	Q9P0Z9	17	28950513-29057216	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	13	"kidney: 140.6;liver: 491.1"	"Group enriched"	"Detected in some"	8	"Hepatocytes: 224.2;Proximal tubular cells: 142.8"	"Cancer enriched"	"Detected in many"	5	"liver cancer: 73.5"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"myeloid DC: 1.8"	"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Brain cancer: 12.2;Sarcoma: 11.1"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"										NA	NA		380000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	1				"unprognostic (8.02e-2)"	"unprognostic (3.50e-4)"	"unprognostic (3.03e-1)"	"unprognostic (6.25e-3)"	"unprognostic (1.52e-1)"	"unprognostic (5.01e-2)"	"unprognostic (1.95e-3)"	"unprognostic (1.15e-2)"	"unprognostic (2.17e-1)"	"unprognostic (3.45e-1)"	"prognostic favorable (1.49e-4)"	"unprognostic (2.39e-1)"	"unprognostic (3.13e-3)"	"unprognostic (2.58e-3)"	"unprognostic (2.01e-1)"	"unprognostic (2.79e-2)"	"unprognostic (1.22e-1)"
ZNF511-PRAP1		ENSG00000283496	"ZNF511-PRAP1 readthrough"		10	133309410-133352529	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"			"Group enriched"	"Detected in some"	13	"intestine: 9.0;kidney: 8.2;liver: 29.6"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA035360, HPA038713, HPA052451"	Supported		Uncertain	"Nucleoplasm,Nuclear bodies,Vesicles"			NA	NA				"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 10: Ciliated cells - Ion channel activity"			"Nuclear bodies"	"Nucleoplasm, Vesicles"	"HPA035360: AB_10601931, HPA038713: AB_10673117, HPA052451: AB_2681839"																	
DUSP9	"MKP-4, MKP4"	ENSG00000130829	"Dual specificity phosphatase 9"	Q99956	X	153642492-153651326	"Enzymes, Predicted intracellular proteins"		"Hydrolase, Protein phosphatase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	12	"kidney: 55.4;placenta: 70.2"	"Group enriched"	"Detected in some"	20	"Cytotrophoblasts: 1119.9;Distal tubular cells: 418.0;Syncytiotrophoblasts: 1527.5"	"Cancer enhanced"	"Detected in many"		"liver cancer: 10.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"Gastric cancer: 21.2;liver cancer: 62.7"	"Kidney - Ascending Loop of Henle cells, Testis - Spermatogonia"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA003336	Enhanced		Approved	"Endoplasmic reticulum"			NA	NA				"Cluster 58: Placenta - Pregnancy"	"Cluster 51: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 24: Cytotrophoblasts - Mitochondria"	2	"Endoplasmic reticulum"		"HPA003336: AB_1078709"	"unprognostic (4.64e-2)"	"unprognostic (6.48e-2)"	"unprognostic (4.87e-2)"	"prognostic unfavorable (1.60e-4)"	"unprognostic (1.52e-2)"	"unprognostic (2.74e-3)"	"unprognostic (9.36e-3)"	"unprognostic (6.15e-2)"	"unprognostic (2.81e-1)"	"unprognostic (3.03e-1)"	"unprognostic (1.29e-2)"	"unprognostic (1.38e-2)"	"unprognostic (2.68e-7)"	"unprognostic (4.49e-2)"	"unprognostic (2.08e-1)"	"unprognostic (2.77e-2)"	"unprognostic (5.52e-2)"
KHK		ENSG00000138030	Ketohexokinase	P50053	2	27086772-27100762	"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Carbohydrate metabolism"	"Kinase, Transferase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	12	"intestine: 122.9;kidney: 104.7;liver: 179.8"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 387.6;Proximal enterocytes: 1881.3;Proximal tubular cells: 741.7"	"Group enriched"	"Detected in all"	7	"liver cancer: 62.2;renal cancer: 32.5"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007040	Enhanced		Approved	Vesicles,Cytosol			NA	NA		620000	"Cluster 33: Non-specific - ATP binding"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 37: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 22: Proximal enterocytes - Digestion"	1	"Vesicles, Cytosol"		"HPA007040: AB_1079185"	"unprognostic (8.44e-2)"	"unprognostic (1.49e-1)"	"unprognostic (1.70e-1)"	"prognostic unfavorable (7.62e-8)"	"unprognostic (2.25e-1)"	"unprognostic (1.21e-1)"	"unprognostic (3.08e-2)"	"unprognostic (3.13e-2)"	"unprognostic (1.67e-2)"	"unprognostic (2.50e-2)"	"unprognostic (3.01e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.68e-2)"	"unprognostic (2.56e-3)"	"unprognostic (2.32e-1)"	"unprognostic (2.44e-1)"	"unprognostic (1.02e-2)"
PAH	PH	ENSG00000171759	"Phenylalanine hydroxylase"	P00439	12	102836889-102958410	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Phenylalanine catabolism"	"Allosteric enzyme, Monooxygenase, Oxidoreductase"	"Disease variant, FDA approved drug targets, Phenylketonuria"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	12	"kidney: 478.9;liver: 1365.3"	"Group enriched"	"Detected in some"	5	"Cholangiocytes: 244.2;Hepatocytes: 742.1;Proximal tubular cells: 215.7"	"Cancer enriched"	"Detected in some"	17	"liver cancer: 94.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"liver cancer: 43.8"	"Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA028407, HPA031642"	Enhanced		Approved	"Endoplasmic reticulum,Vesicles"			No	NA		40000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"		"Endoplasmic reticulum, Vesicles"		"HPA028407: AB_10601241, HPA031642: AB_2673974"	"unprognostic (1.16e-1)"	"unprognostic (1.52e-1)"	"unprognostic (4.47e-2)"	"unprognostic (9.13e-3)"	"unprognostic (5.19e-2)"	"unprognostic (5.99e-2)"	"prognostic favorable (4.30e-4)"	"unprognostic (1.27e-1)"	"unprognostic (6.60e-2)"	"unprognostic (4.45e-3)"	"unprognostic (1.94e-3)"	"unprognostic (1.83e-1)"	"unprognostic (1.10e-2)"	"unprognostic (3.51e-1)"	"unprognostic (1.64e-1)"	"unprognostic (3.96e-2)"	"unprognostic (1.68e-2)"
TMEM213		ENSG00000214128	"Transmembrane protein 213"	A2RRL7	7	138797952-138838101	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Group enriched"	"Detected in some"	12	"kidney: 73.2;salivary gland: 50.7"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 48.6;Distal tubular cells: 162.9;Salivary duct cells: 56.5;Serous glandular cells: 35.1"	"Cancer enriched"	"Detected in some"	22	"renal cancer: 21.7"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 2.1;NK-cell: 1.9"	"Group enriched"	"Detected in many"	5	"granulocytes: 2.1;NK-cells: 1.9"	"Group enriched"	"Detected in some"	4	"Gastric cancer: 1.2;Sarcoma: 1.4"	"Breast - Breast glandular cells (progenitors), Kidney - Intercalated cells, Skin - Eccrine sweat gland cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA054059	Enhanced						NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 48: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 75: Serous glandular cells - Salivary secretion"				"HPA054059: AB_2682361"	"unprognostic (2.79e-2)"	"unprognostic (2.56e-1)"	"unprognostic (1.85e-2)"	"unprognostic (1.19e-2)"	"unprognostic (3.19e-2)"	"unprognostic (6.84e-2)"		"unprognostic (1.17e-2)"	"unprognostic (2.10e-1)"	"unprognostic (6.14e-2)"	"unprognostic (6.08e-2)"	"unprognostic (1.91e-2)"	"prognostic favorable (5.54e-7)"	"unprognostic (4.33e-1)"	"unprognostic (9.99e-2)"	"unprognostic (3.06e-1)"	"unprognostic (1.05e-2)"
CRYAA	"CRYA1, HSPB4"	ENSG00000160202	"Crystallin alpha A"	P02489	21	43169008-43172805	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Sensory transduction, Vision"	"Chaperone, Eye lens protein"	"Cataract, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	11	"kidney: 83.6;retina: 99.6"	"Cell type enhanced"	"Detected in single"		"Muller glia cells: 1.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	8	"liver cancer: 3.5"		"Region enhanced"	"Detected in some"		"hippocampal formation: 3.9"	"Group enriched"	"Detected in some"	16	"cerebral cortex: 51.6;hippocampal formation: 46.6"	"HPA037737, HPA038430"	Supported		Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 34: Non-specific - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 10: Muller glia cells - Visual perception"	72	Cytosol	Nucleoplasm	"HPA037737: AB_2675639, HPA038430: AB_2732478"							"unprognostic (3.68e-3)"										
EHHADH	ECHD	ENSG00000113790	"Enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase"	Q08426	3	185190624-185281990	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Isomerase, Lyase, Multifunctional enzyme, Oxidoreductase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	11	"kidney: 139.2;liver: 334.1"	"Group enriched"	"Detected in many"	4	"Hepatocytes: 276.9;Proximal tubular cells: 125.5"	"Group enriched"	"Detected in all"	7	"liver cancer: 42.2;renal cancer: 25.4"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036401, HPA042021"	Enhanced						NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 62: Hepatocytes - Metabolism"	94			"HPA036401: AB_10670165, HPA042021: AB_2677801"	"unprognostic (1.20e-1)"	"unprognostic (5.99e-2)"	"unprognostic (2.17e-3)"	"unprognostic (2.69e-2)"	"unprognostic (6.82e-2)"	"unprognostic (1.48e-1)"	"unprognostic (4.79e-3)"	"unprognostic (1.25e-1)"	"unprognostic (1.73e-1)"	"unprognostic (3.89e-2)"	"unprognostic (3.19e-3)"	"unprognostic (1.87e-1)"	"prognostic favorable (1.28e-5)"	"unprognostic (1.93e-1)"	"unprognostic (1.53e-1)"	"unprognostic (2.96e-2)"	"unprognostic (2.80e-1)"
BHMT2		ENSG00000132840	"Betaine--homocysteine S-methyltransferase 2"	Q9H2M3	5	79069767-79090069	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Methyltransferase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	10	"kidney: 321.0;liver: 416.7"	"Group enriched"	"Detected in many"	6	"Hepatocytes: 389.2;Proximal tubular cells: 508.2"	"Group enriched"	"Detected in many"	14	"liver cancer: 79.6;renal cancer: 52.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	9	"Adrenocortical cancer: 94.2;Kidney cancer: 68.7;liver cancer: 44.2"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Smooth muscle cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA044573	Enhanced						NA	NA		1900000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 42: Choroid plexus - Mitochondria"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"				"HPA044573: AB_10795044"	"unprognostic (5.03e-2)"	"unprognostic (4.42e-2)"	"unprognostic (2.60e-2)"	"unprognostic (3.76e-2)"	"unprognostic (4.40e-2)"	"unprognostic (2.90e-3)"	"unprognostic (1.56e-2)"	"unprognostic (1.95e-1)"	"unprognostic (1.87e-2)"	"unprognostic (2.45e-3)"	"unprognostic (1.41e-2)"	"unprognostic (1.02e-1)"	"unprognostic (1.76e-2)"	"unprognostic (5.05e-2)"	"unprognostic (1.49e-1)"	"unprognostic (1.60e-1)"	"unprognostic (1.06e-3)"
LY6L		ENSG00000261667	"Lymphocyte antigen 6 family member L"	H3BQJ8	8	143080630-143083486	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Group enriched"	"Detected in some"	10	"epididymis: 6.0;kidney: 1.5"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	6	"prostate cancer: 2.8"	"Region enhanced"	"Detected in some"		"thalamus: 5.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	27	"breast cancer: 2.6"		"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 70: DU4475 - Unknown function"																				"unprognostic (5.25e-2)"		
